City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ialibu,100,PG,1573346718,64,-6.28,143.99,71.58,4.18
araouane,92,ML,1573346718,18,18.9,-3.53,81.03,9.73
kupang,20,ID,1573346718,49,-10.16,123.6,89.6,2.24
mogapi,98,BW,1573346718,75,-22.32,27.84,68.2,19.6
sur,65,OM,1573346718,59,22.57,59.53,70.41,3.13
milkovo,100,BG,1573346718,100,41.53,24.68,61.0,3.36
coihaique,90,CL,1573346482,58,-45.58,-72.07,59.0,3.36
ilembula,42,TZ,1573346719,85,-8.9,34.58,62.6,9.57
zhezkazgan,95,KZ,1573346719,78,47.8,67.71,41.77,16.11
gat,39,SN,1573346471,78,14.69,-16.54,73.4,14.99
itapetinga,9,BR,1573346719,93,-15.25,-40.25,67.21,1.97
saint george,48,GR,1573346625,100,39.45,22.34,51.8,4.7
colquiri,99,BO,1573346719,79,-17.42,-67.13,43.2,11.9
redcar,20,GB,1573346720,86,54.62,-1.06,44.01,6.93
lasa,0,CY,1573346720,52,34.92,32.53,66.2,8.05
sola,50,TZ,1573346720,69,-3.17,33.8,69.42,5.37
pokhara,5,NP,1573346720,67,28.21,83.99,58.75,3.74
sobolevo,100,RU,1573346720,97,54.43,31.9,49.48,9.78
tazmalt,40,DZ,1573346720,71,36.39,4.4,50.0,4.7
agboville,1,CI,1573346720,98,5.93,-4.21,73.36,2.46
imeni poliny osipenko,0,RU,1573346721,51,52.42,136.49,16.45,9.82
dolores,27,UY,1573346721,75,-33.53,-58.22,71.01,14.0
bilma,0,NE,1573346721,14,18.69,12.92,73.9,6.06
berlevag,100,NO,1573346658,78,70.86,29.09,17.6,6.93
chapais,90,CA,1573346620,85,49.78,-74.86,19.4,8.05
tuatapere,100,NZ,1573346721,94,-46.13,167.69,50.0,4.0
el alto,75,BO,1573346721,61,-16.5,-68.19,48.2,10.29
yarmouth,75,CA,1573346722,59,43.84,-66.12,37.99,6.93
weymouth,1,US,1573346722,63,42.22,-70.94,36.0,4.07
marzuq,0,YE,1573346722,60,14.4,46.47,64.49,3.38
buraydah,75,SA,1573346643,73,26.33,43.97,71.6,14.99
yulara,0,AU,1573346431,14,-25.24,130.99,77.0,14.99
nome,1,US,1573346722,58,30.04,-94.42,59.0,2.8
aksarka,82,RU,1573346723,99,66.56,67.8,-5.03,0.87
te anau,97,NZ,1573346723,87,-45.41,167.72,45.9,3.65
tall kayf,41,TR,1573346723,53,37.08,41.07,50.0,11.41
kraskino,89,RU,1573346723,71,42.71,130.78,42.4,6.51
kahului,20,US,1573346713,43,20.89,-156.47,87.8,8.05
chany,0,RU,1573346723,59,55.31,76.76,14.7,7.83
montrose,20,GB,1573346723,80,56.71,-2.47,37.0,10.29
raudeberg,0,NO,1573346723,58,61.99,5.14,34.0,8.05
grand baie,20,MU,1573346724,88,-20.02,57.58,70.0,4.7
havelock,1,US,1573346724,81,34.88,-76.9,50.0,4.7
funes,46,AR,1573346724,64,-32.92,-60.81,75.99,9.17
goure,2,NE,1573346724,16,13.98,10.27,82.99,3.0
kamogawa,20,JP,1573346724,58,35.13,140.08,62.01,12.75
moron,2,HT,1573346724,79,18.56,-74.26,80.42,4.5
ola,100,RU,1573346725,82,59.58,151.3,17.65,15.39
estelle,90,FR,1573346725,93,43.97,3.47,44.6,4.7
kuppam,67,IN,1573346725,91,12.75,78.34,70.72,3.58
whitehorse,40,CA,1573346500,66,60.72,-135.06,12.2,2.24
huadian,100,CN,1573346725,61,42.97,126.75,36.55,5.17
bardsir,8,IR,1573346725,59,29.93,56.57,33.8,4.7
bad doberan,75,DE,1573346726,93,54.11,11.9,43.0,5.82
olga,1,US,1573346475,8,34.11,-118.17,87.8,4.7
kaeo,72,NZ,1573346726,100,-35.1,173.78,72.0,5.99
santa cruz,100,BR,1573346726,79,-6.22,-36.02,73.08,8.19
kargasok,75,RU,1573346726,88,59.06,80.87,8.55,7.96
raymondville,1,US,1573346726,54,37.34,-91.83,55.99,5.82
wakkanai,40,JP,1573346726,44,45.41,141.67,39.2,21.92
saint anthony,1,US,1573346726,42,43.97,-111.68,51.8,4.0
sakiai,100,LT,1573346727,93,54.95,23.04,50.0,6.93
pervouralsk,8,RU,1573346727,92,56.9,59.94,10.4,4.32
fomboni,97,KM,1573346727,82,-12.28,43.74,80.17,15.37
namibe,0,AO,1573346443,74,-15.19,12.15,77.05,7.76
balabac,8,PH,1573346727,78,7.99,117.06,81.55,13.65
nouadhibou,91,MR,1573346727,64,20.93,-17.03,68.0,20.8
atasu,100,KZ,1573346728,92,48.68,71.64,35.58,6.69
eureka,90,US,1573346583,93,40.8,-124.16,57.99,4.7
kavieng,100,PG,1573346728,90,-2.57,150.8,77.52,5.73
coronel vivida,49,BR,1573346728,92,-25.98,-52.57,66.83,4.63
berea,75,US,1573346637,52,37.57,-84.3,44.6,5.82
maragogi,96,BR,1573346630,79,-9.01,-35.22,79.23,14.41
dongsheng,90,CN,1573346728,63,29.72,112.52,61.29,5.41
tiksi,97,RU,1573346661,97,71.64,128.87,-13.73,5.12
turkmenabat,0,TM,1573346729,39,39.09,63.58,32.0,6.93
carnot,59,CF,1573346729,74,4.94,15.87,71.74,2.95
pascagoula,1,US,1573346463,87,30.37,-88.56,57.2,3.53
rawson,15,AR,1573346729,80,-43.3,-65.11,50.7,20.8
yenagoa,99,NG,1573346730,90,4.92,6.26,77.7,3.0
coihueco,85,CL,1573346730,43,-36.63,-71.83,71.6,6.93
peruibe,98,BR,1573346730,88,-24.32,-47.0,74.59,16.44
encruzilhada do sul,72,BR,1573346730,97,-30.54,-52.52,65.21,9.26
galesong,20,ID,1573346730,79,-5.32,119.37,84.2,3.36
hokitika,100,NZ,1573346730,96,-42.72,170.96,56.79,13.65
wyndham,96,GB,1573346730,93,51.61,-3.54,43.0,9.17
myaundzha,100,RU,1573346730,85,63.05,147.18,6.57,7.2
davila,75,PH,1573346731,83,18.47,120.58,77.0,2.24
makurdi,100,NG,1573346731,69,7.73,8.54,79.09,5.01
curup,17,ID,1573346731,91,-3.47,102.53,68.92,1.41
neiafu,40,TO,1573346731,78,-18.65,-173.98,80.6,12.75
cibitoke,99,BI,1573346731,77,-2.89,29.12,62.65,1.59
pirgos,20,GR,1573346731,93,35.12,25.72,71.01,5.82
atikokan,100,CA,1573346443,86,48.76,-91.62,23.49,8.19
komsomolskiy,39,RU,1573346732,100,67.55,63.78,-5.53,2.84
mutis,100,CO,1573346732,80,6.23,-77.4,77.38,7.94
moratuwa,5,LK,1573346732,94,6.77,79.88,75.2,2.24
los llanos de aridane,75,ES,1573346732,73,28.66,-17.92,69.8,14.99
el aguila,75,MX,1573346732,48,19.17,-99.41,77.0,5.82
sao joao da barra,84,BR,1573346732,89,-21.64,-41.05,75.69,5.99
aktau,2,KZ,1573346733,80,43.65,51.16,35.6,8.95
brewster,40,US,1573346468,64,41.76,-70.08,39.99,4.7
timra,90,SE,1573346733,73,62.49,17.33,23.0,12.75
ilovlya,75,RU,1573346733,86,49.31,43.98,39.2,15.66
hakui,20,JP,1573346733,81,36.89,136.78,57.99,2.24
williston,90,US,1573346733,92,48.15,-103.62,28.4,12.75
weihai,100,CN,1573346733,69,37.5,122.11,62.01,23.31
ayagoz,100,KZ,1573346733,81,47.96,80.43,32.99,6.38
morant bay,40,JM,1573346734,70,17.88,-76.41,84.2,5.82
tungor,100,RU,1573346734,76,53.39,142.95,26.42,21.54
praia da vitoria,20,PT,1573346633,87,38.73,-27.07,60.8,6.2
clyde river,90,CA,1573346734,85,70.47,-68.59,17.6,26.4
umuarama,27,BR,1573346734,78,-23.76,-53.31,72.01,4.97
ixtapa,40,MX,1573346464,79,20.71,-105.21,86.0,5.82
mackenzie,90,CA,1573346734,61,55.34,-123.09,12.2,6.93
buala,76,SB,1573346647,71,-8.15,159.59,84.18,5.53
japura,51,ID,1573346735,93,-0.42,102.29,76.15,1.19
severo-yeniseyskiy,100,RU,1573346735,95,60.37,93.04,-10.76,7.27
marshall,1,US,1573346735,57,39.12,-93.2,55.0,6.93
jiangyou,75,CN,1573346735,89,31.78,104.73,47.14,1.54
panaba,18,MX,1573346735,80,21.28,-88.27,78.22,12.55
pagudpud,75,PH,1573346735,83,18.56,120.79,77.0,2.24
san patricio,100,PY,1573346450,91,-26.98,-56.83,75.15,3.91
bandarbeyla,0,SO,1573346659,73,9.49,50.81,79.02,14.85
san jose,90,HN,1573346449,87,14.25,-87.96,71.6,10.29
garowe,0,SO,1573346736,64,8.41,48.48,71.91,9.51
canelli,40,IT,1573346736,81,44.72,8.29,52.0,6.93
macamic,90,CA,1573346736,86,48.75,-79.0,28.4,9.17
carolina,75,PR,1573346736,78,18.38,-65.96,82.4,6.93
doha,75,QA,1573346736,83,25.29,51.53,80.6,3.36
turayf,0,SA,1573346737,43,31.68,38.65,55.4,9.17
lieksa,100,FI,1573346737,99,63.32,30.02,33.89,4.5
bull savanna,58,JM,1573346737,93,17.89,-77.59,72.05,2.13
nioro,2,GM,1573346737,20,13.79,-15.05,83.89,9.51
iquique,90,CL,1573346737,72,-20.22,-70.14,64.4,4.7
ayan,0,IR,1573346737,27,38.23,44.7,31.06,1.7
kibala,61,TD,1573346737,37,9.11,18.35,75.97,1.66
the valley,20,AI,1573346738,83,18.22,-63.06,82.4,9.17
mayumba,98,GA,1573346738,78,-3.44,10.65,80.47,5.59
harper,1,US,1573346738,72,30.3,-99.24,64.4,6.93
guymon,1,US,1573346738,18,36.68,-101.48,64.4,9.17
san carlos del zulia,94,VE,1573346738,81,9.0,-71.91,79.93,3.89
honningsvag,0,NO,1573346502,68,70.98,25.97,29.73,11.1
shimoga,0,IN,1573346739,80,13.92,75.57,65.35,1.25
mankachar,100,IN,1573346739,89,25.53,89.87,69.91,5.44
andros,97,GR,1573346739,82,37.83,24.93,64.99,6.93
mana,0,NG,1573346739,23,13.03,5.27,79.99,5.5
strezhevoy,100,RU,1573346739,84,60.73,77.6,1.4,4.47
kodinsk,100,RU,1573346739,87,58.6,99.18,1.9,10.78
ucluelet,90,CA,1573346472,100,48.94,-125.55,53.01,5.82
palauig,93,PH,1573346739,74,15.44,119.9,77.72,1.52
batticaloa,97,LK,1573346740,92,7.71,81.69,73.27,2.57
honiara,75,SB,1573346740,70,-9.43,159.96,87.8,6.93
andra,57,RU,1573346740,94,62.52,65.89,3.15,3.13
kavaratti,28,IN,1573346618,69,10.57,72.64,81.25,6.76
alihe,100,CN,1573346740,88,50.57,123.73,22.1,2.1
isnos,100,CO,1573346740,89,1.94,-76.24,61.03,2.1
